id,location,investigation,date_of_accident,date_of_report,time_of_accident,ai_category,body_part,nature_of_injury,type_of_contact,no_of_days_lost,target_closure_date,actual_closure_date,investigation_level
407,Section 2,Yes,31-05-2018,31-05-18,7:55:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,14-06-18,11-06-18,Medium
408,Section 2,No,30-05-2018,31-05-18,1:43:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,15-06-18,,N/A
409,Section 4,Yes,31-05-2018,31-05-18,1:17:00 PM,Loss/Damage/Theft,Neck,Sprain / Strain ,Other,0,12-05-18,25-06-18,High
410,Section 4,Yes,01-06-2018,01-06-18,1:00:00 PM,Utility Damage,N/A,N/A,N/A,0,15-07-18,04-07-18,Low
411,Section 3,No,31-05-2018,31-05-18,3:00:00 PM,Injury,Arm,Abrasion,"Slip, trip or fall on same level",0,04-06-18,04-06-18,Low
412,Section 1,Yes,02-06-2018,02-06-18,8:30:00 PM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,15-06-18,11-06-18,Medium
413,Section 2,Yes,04-06-2018,04-06-18,4:03:00 PM,Injury,Torso,Vehicle whiplash ,Other,6,19-06-18,19-06-18,Medium
414,Section 2,No,05-06-2018,05-06-18,4:20:00 PM,Injury,Foot / Ankle,Sprain / Strain ,"Slip, trip or fall on same level",0,20-06-18,12-06-18,Low
415,Section 4,Yes,05-06-2018,06-06-18,9:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,12-07-18,12-07-18,Medium
416,Section 2,Yes ,05-05-2018,06-06-18,8:30:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,20-06-18,20-06-18,Low
417,Section 3,Yes,06-06-2018,06-06-18,1:00:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,"Injured by carrying, handling or lifting",0,20-06-18,22-06-18,Low
418,Section 4,Yes,01-06-2018,04-06-18,10:00:00 AM,Utility Damage,N/A,N/A,N/A,0,15-08-18,08-08-18,Low
419,Section 2,Yes,06-06-2018,06-06-18,1:30:00 PM,Utility Damage,N/A,N/A,N/A,0,21-06-18,11-06-18,Medium
420,Section 2,No,10-06-2018,10-06-18,1:32:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,10-06-18,10-06-18,N/A
421,Section 4,No,10-06-2018,10-06-18,3:49:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,10-06-18,10-06-18,N/A
422,Section 4,No,11-06-2018,12-06-18,8:20:00 PM,Injury,Arm,Bruise / Contusion,"Struck by a falling, flying or moving object",0,12-06-18,12-06-18,N/A
423,Section 2,Yes ,12-06-2018,13-06-18,2:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,26-06-18,,Medium
424,Section 4,No,12-06-2018,13-06-18,10:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,27-06-18,25-06-18,Low
425,Section 2,Yes ,16-06-2018,16-06-18,1:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-07-18,04-07-18,High
426,Section 2,No,15-06-2018,15-06-18,5:20:00 PM,Utility Damage,N/A,N/A,N/A,0,29-06-18,15-06-18,Low
427,Section 4,No,13-06-2018,13-06-18,3:20:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,26-06-18,13-06-18,Low
428,Section 5,No,19-06-2018,19-06-18,1:10:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,25-06-18,20-06-18,Low
429,Section 2,No ,19-06-2018,19-06-18,5:35:00 PM,Road Traffic Accidents,N/A,N/A,Struck by a moving vehicle,0,20-06-18,20-06-18,N/A
430,Section 3,Yes,15-08-2018,16-06-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,29-08-18,29-08-18,Low
431,Section 2,No,19-06-2018,21-06-18,6:45:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",0,05-07-18,25-06-18,Low
433,Section 4,Yes,20-06-2018,20-06-18,2:30:00 PM,Utility Damage,N/A,N/A,N/A,0,05-07-18,04-07-18,Low
434,Section 5,No,25-06-2018,25-06-18,3:15:00 PM,Utility Damage,N/A,N/A,Other,0,09-07-18,31-08-18,Medium
435,Section 4,No,22-07-2018,25-07-18,12:00:00 AM,Utility Damage,N/A,N/A,N/A,0,06-08-18,06-08-18,Low
436,Section 4,Yes,28-06-2018,28-06-18,10:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,20-07-18,06-07-18,Low
437,Section 5,Yes,27-06-2018,27-06-18,12:55:00 AM,Injury,Eyes,Foreign Body,Other,0,06-07-18,10-07-18,Low
438,Section 4,Yes,02-07-2018,02-07-18,2:00:00 PM,Injury,Foot / Ankle,Fracture ,Fall from height,21,,,High
439,Section 4,No,03-07-2018,03-07-18,12:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,03-07-18,03-07-19,N/A
440,Section 3,Yes,02-07-2018,03-07-18,11:48:00 AM,Injury,Hand,Cut / Laceration,Struck against a fixed or stationary object,0,16-07-18,,Low
441,Section 4,Yes,03-07-2018,04-07-18,4:09:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,06-07-18,16-07-18,Low
442,Section 4,Yes,04-07-2018,04-07-18,9:00:00 AM,Utility Damage,N/A,N/A,N/A,0,18-07-18,18-07-18,Low
443,Section 3,Yes,05-07-2018,05-07-18,1:30:00 PM,Injury,Ears,Cut / Laceration,Other,0,,,
444,Section 3,Yes,03-07-2018,04-07-18,11:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Other,0,,,
445,Section 2,No,10-07-2018,10-07-18,1:30:00 PM,Injury,Back / Buttocks,Bruise / Contusion,"Slip, trip or fall on same level",1,24-07-18,31-08-18,Medium
446,Section 5,No,11-07-2018,11-07-18,3:15:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-07-18,11-07-18,Low
447,Section 4,Yes,10-07-2018,10-07-18,1:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,24-08-18,High
448,Section 4,No,12-07-2018,12-07-18,12:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-07-18,13-08-18,Low
449,Section 3,No,12-07-2018,12-07-18,2:30:00 PM,Injury,Eyes,Foreign Body,Exposed to dust ,0,,,High
450,Section 3,Yes,13-07-2018,13-07-18,7:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,27-07-18,24-07-18,High
451,Central,No,14-07-2018,14-07-18,6:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,15-07-18,15-07-18,N/A
452,Section 3,No,16-07-2018,16-07-18,10:10:00 AM,Illness,Multiple injuries,Other,N/A,0,,,N/A
453,Section 4,No,15-07-2018,15-07-18,2:52:00 AM,Road Traffic Accidents,,,N/A,0,17-07-18,17-07-18,N/A
454,Section 4,Yes,18-07-2018,18-07-18,12:00:00 PM,Category 1 / 2 Near Miss,,,N/A,0,,06-09-18,Medium
455,Central,No,17-07-2018,17-07-18,9:00:00 AM,Road Traffic Accidents,,,N/A,0,18-07-18,18-07-18,Low
456,Section 1,No,20-07-2018,20-07-18,7:50:00 AM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,23-07-18,24-07-18,Low
457,Section 4,Yes,20-07-2018,20-07-18,10:30:00 AM,Road Traffic Accidents,,,N/A,0,10-08-18,17-08-18,Low
458,Section 2,No,21-07-2018,21-07-18,5:18:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,,,N/A
459,Section 4,Yes,23-07-2018,23-07-18,7:15:00 AM,Injury,,,Fall from height,2,08-08-18,06-08-18,High
460,Section 2,No,23-07-2018,23-07-18,9:20:00 AM,Injury,Hand,Cut / Laceration,Other,0,06-08-18,14-08-18,Low
461,Section 2,No,23-07-2018,23-07-18,7:40:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,06-08-18,24-07-18,N/A
462,Section 4,No,23-07-2018,23-07-18,8:30:00 AM,Loss/Damage/Theft,No,No,N/A,0,23-07-18,23-07-18,N/A
463,Section 4,Yes,25-07-2018,25-07-18,1:35:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,16-08-18,14-08-18,Low
464,Section 2,No,25-07-2018,25-07-18,3:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,08-08-18,14-08-18,Low
465,Section 2,No,26-07-2018,26-07-18,3:00:00 PM,Utility Damage,N/A,N/A,N/A,0,09-08-18,15-08-18,Medium
466,Section 4,Yes,26-07-2018,27-07-18,8:00:00 AM,Utility Damage,N/A,N/A,N/A,0,,,Medium
467,Section 4,Yes,31-07-2018,01-08-18,5:30:00 PM,Loss/Damage/Theft,N/A,N/A,Contact with moving machinery / power equipment,0,14-08-18,17-08-18,Medium
468,Section 3,Yes,01-08-2018,01-08-18,10:00:00 AM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,10-08-18,10-08-18,Low
469,Section 4,Yes,02-08-2018,03-08-18,1:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,16-08-18,09-08-18,Low
470,Section 4,Yes,04-08-2018,04-08-18,6:35:00 AM,Loss/Damage/Theft,N/A,N/A,Other,0,16-08-18,08-08-18,Low
471,Section 4,No,06-08-2018,06-08-18,9:15:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,20-08-18,06-08-18,N/A
472,Section 1,No,06-08-2018,06-08-18,N/A,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,,,N/A
473,Section 4,Yes,07-08-2018,07-08-18,3:30:00 PM,Loss/Damage/Theft,N/A,N/A,Other,0,21-08-18,13-08-19,Low
474,Section 3,Yes,07-08-2018,07-08-18,3:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,21-08-18,22-08-18,High
475,Section 4,Yes,09-08-2018,09-08-18,1:00:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,29-08-18,17-08-18,Low
476,Section 1,No,08-08-2018,08-08-18,9:00:00 AM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,,,N/A
477,Section 4,No,11-08-2018,11-08-18,8:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-08-18,11-08-18,N/A
478,Section 4,No,10-08-2018,10-08-18,2:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,10-08-18,10-08-18,N/A
479,Section 2,Yes,15-08-2018,15-08-18,1:00:00 PM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,29-08-18,28-08-18,High
480,Section 2,N/A,15-08-2018,15-08-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,29-08-18,21-08-18,N/A
481,Section 4,Yes,15-08-2018,16-08-18,8:00:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",4,31-08-18,23-08-18,Low
482,Section 4,No,16-08-2018,16-08-18,10:00:00 AM,Illness,N/A,Other,Other,0,16-08-18,16-08-18,N/A
483,Section 5,No,17-08-2018,18-08-18,9:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,18-08-18,18-08-18,N/A
484,Section 3,Yes,18-08-2018,20-08-18,12:10:00 PM,Injury,Fingers / Thumbs,Other,Other,0,15-10-18,29-08-18,Low
485,Section 4,Yes,21-08-2018,21-08-18,10:30:00 AM,Loss/Damage/Theft,N/A,N/A,Other,0,15-10-18,24-08-18,Low
486,Section 5,No,10-08-2018,14-08-18,9:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-10-18,22-08-18,N/A
487,Section 4,Yes,22-08-2018,22-08-18,11:45:00 AM,Loss/Damage/Theft,N/A,N/A,Other,0,15-10-18,23-08-18,Low
488,Section 4,No,16-08-2018,23-08-18,9:32:00 PM,Category 1 / 2 Near Miss,N/A,N/A,"12 Incursion recorded by CCTV operatives, from 19/08/18 to 16/08/18",,15-10-18,23-08-18,N/A
489,Section 2,No,23-08-2018,23-08-18,8:15:00 AM,Loss/Damage/Theft,N/A,N/A,Other,0,12-10-18,20-09-18,Low
490,Section 4,Yes,22-08-2018,23-08-18,4:30:00 PM,Utility Damage,N/A,N/A,N/A,0,15-10-18,,Medium
491,Section 2,No,24-08-2018,24-08-18,8:15:00 AM,Injury,N/A,N/A,"Struck by a falling, flying or moving object",0,17-10-18,24-08-18,N/A
492,Section 4,No,29-08-2018,29-08-18,7:45:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,17-10-18,,N/A
493,Section 4,Yes,30-08-2018,30-08-18,10:00:00 AM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,27-11-18,06-09-18,Low
494,Section 3,No,30-08-2018,30-08-18,12:00:00 PM,Injury,Back / Buttocks,N/A,N/A,0,27-11-18,,N/A
495,Section 2,No,30-08-2018,30-08-18,10:20:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,27-11-18,20-09-18,Low
496,Section 4,Yes,31-08-2018,31-08-18,10:53:00 AM,Utility Damage,N/A,N/A,N/A,0,16-01-19,04-09-18,Medium
497,Section 4,Yes,30-08-2018,30-08-18,4:50:00 PM,Utility Damage,N/A,N/A,N/A,0,30-01-19,04-09-18,Low
498,Section 4,Yes,03-09-2018,03-09-18,10:00:00 AM,Utility Damage,N/A,N/A,N/A,0,30-01-19,19-09-18,Medium
499,Section 4,No,03-09-2018,03-09-18,9:00:00 AM,Illness,,,N/A,0,13-02-19,,N/A
500,Section 4,Yes,04-09-2018,04-09-18,10:30:00 AM,Utility Damage,N/A,N/A,N/A,0,26-02-19,18-09-18,Low
501,Section 3,Yes,05-09-2018,05-09-18,7:30:00 AM,Injury,Arm,Bruise / Contusion,"Slip, trip or fall on same level",0,28-02-19,,Low
502,Section 4,No,01-09-2018,07-09-18,4:21:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,04-03-19,07-09-18,N/A
503,Section 4,Yes,06-09-2018,07-09-18,5:30:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,"Injured by carrying, handling or lifting",0,14-03-2019,07-09-18,Low
504,Section 5,No,05-09-2018,07-09-18,11:40:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,06-03-19,07-09-18,Low
505,Section 5,No,06-09-2018,07-09-18,1:20:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-01-19,07-09-18,Low
506,Section 5,No,06-09-2018,07-09-18,4:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-04-19,07-09-18,Low
507,Section 5,No,06-09-2018,07-09-18,11:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-04-19,07-09-18,Low
508,Section 4,No,03-09-2018,07-09-18,5:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-05-2019,07-09-18,N/A
509,Section 4,No,04-09-2018,07-09-18,1:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,17-05-2019,07-09-18,N/A
510,Section 4,No,06-09-2018,07-09-18,1:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,29-05-19,07-09-18,N/A
511,Section 5,No,08-09-2018,08-09-18,11:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,23-07-19,08-09-18,N/A
512,Section 5,No,08-09-2018,08-09-18,11:06:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
513,Section 5,No,08-09-2018,08-09-18,11:56:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
514,Section 5,No,08-09-2018,08-09-18,12:20:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
515,Section 5,No,08-09-2018,08-09-18,12:21:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
516,Section 5,No,08-09-2018,08-09-18,12:37:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
517,Section 5,No,08-09-2018,08-09-18,12:56:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
518,Section 5,No,08-09-2018,08-09-18,1:13:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
519,Section 5,No,08-09-2018,08-09-18,2:48:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
520,Section 5,No,08-09-2018,08-09-18,3:14:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
521,Section 5,No,08-09-2018,08-09-18,3:59:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,,N/A
522,Section 2,No,10-09-2018,11-09-18,9:35:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-07-19,11-09-18,N/A
523,Section 4,Yes,10-09-2018,10-09-18,3:35:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,30-07-19,21-09-18,Low
524,Section 2,No,10-09-2018,10-09-18,2:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,30-07-19,,Low
525,Section 4,No,06-09-2018,07-09-18,4:43:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-08-19,07-09-18,N/A
526,Section 2,No,11-09-2018,11-09-18,1:00:00 PM,Road Traffic Accidents,N/A,N/A,Other,0,06-08-19,,N/A
527,Section 5,No,11-09-2018,11-09-18,3:00:00 PM,Utility Damage,N/A,N/A,N/A,0,06-08-19,14-09-18,Low
528,Section 3,Yes,11-09-2018,11-09-18,10:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,13-08-2019,,Low
529,Section 3,Yes,12-09-2018,12-09-18,3:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-08-2019,,High
530,Section 4,No,12-09-2018,13-09-18,12:38:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,13-08-2019,13-09-18,N/A
531,Section 2,No,15-09-2018,15-09-18,1:07:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,16-08-19,15-09-18,N/A
532,Section 4,No,17-09-2018,17-09-18,7:15:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,22-08-19,17-09-18,N/A
533,Section 1,No,19-09-2018,20-09-18,1:30:00 PM,Loss/Damage/Theft,N/A,N/A,"Struck by a falling, flying or moving object",0,,,N/A
534,Section 2,No,20-09-2018,20-09-18,9:30:00 AM,Injury,Torso,Other,"Slip, trip or fall on same level",0,04-10-18,04-10-18,Low
535,Section 5,No,20-09-2018,21-09-18,10:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,21-09-18,21-09-18,Low
536,Section 2,No,20-09-2018,20-09-18,7:15:00 AM,Illness,Torso,Other,N/A,0,04-10-18,24-09-18,Low
537,Section 1,No,19-09-2018,19-09-18,1:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,03-10-18,,
538,Section 4,No,23-09-2018,23-09-18,2:38:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,24-09-18,24-09-18,N/A
539,Section 4,Yes,21-09-2018,21-09-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,Medium
540,Section 4,Yes,22-09-2018,22-09-18,9:12:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,09-10-18,09-10-18,Low
541,Section 4,No,24-09-2018,25-09-18,12:00:00 PM,Illness,Torso,N/A,N/A,0,,,N/A
542,Section 4,Yes,26-09-2018,26-09-18,4:00:00 PM,Injury,Torso,Bruise / Contusion,Other,0,09-10-18,09-10-18,Low
543,Section 3,Yes,22-09-2018,,5:00:00 AM,Utility Damage,N/A,N/A,N/A,0,,09-10-18,Low
544,Section 4,No,28-09-2018,28-09-18,7:30:00 AM,Illness,N/A,N/A,N/A,0,,,N/A
545,Section 4,No,14-08-2018,14-08-18,11:33:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,16-10-18,09-10-18,Low
546,Section 2,No,28-09-2018,28-09-18,12:19:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,28-09-18,28-09-18,N/A
546,Section 5,No,08-11-2017,02-10-18,11:20:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
547,Section 5,No,14-06-2018,02-10-18,7:07:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Struck against a fixed or stationary object,0,03-10-18,03-10-18,N/A
548,Section 5,No,20-11-2017,02-10-18,12:45:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
549,Section 5,No,17-08-2018,02-10-18,7:45:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
550,Section 5,No,18-08-2018,02-10-18,9:49:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
551,Section 5,No,17-08-2018,02-10-18,4:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
552,Section 5,No,18-08-2018,02-10-18,9:49:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
553,Section 5,No,19-08-2018,02-10-18,9:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
554,Section 5,No,19-08-2018,02-10-18,9:40:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
555,Section 5,No,22-08-2018,02-10-18,5:05:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
556,Section 5,No,23-08-2018,02-10-18,8:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
557,Section 5,No,22-08-2018,02-10-18,5:35:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
558,Section 5,No,26-08-2018,02-10-18,5:48:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
559,Section 5,No,30-08-2018,02-10-18,5:12:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
560,Section 5,No,11-09-2018,02-10-18,8:22:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
561,Section 5,No,11-09-2018,02-10-18,5:18:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
562,Section 5,No,11-09-2018,02-10-18,8:12:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
563,Section 5,No,27-09-2018,02-10-18,2:33:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
564,Section 5,No,20-09-2018,02-10-18,3:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
565,Section 5,No,02-10-2018,02-10-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-10-18,03-10-18,N/A
566,Section 2,Yes ,01-10-2018,02-10-18,6:20:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,,16-10-18,Low
567,Section 4,Yes,02-10-2018,02-10-18,11:25:00 AM,Injury,Fingers / Thumbs,Cut / Laceration,"Injured by carrying, handling or lifting",0,16-10-18,12-10-18,Low
568,Section 4,Yes,01-10-2018,01-10-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,14-10-18,18-10-18,High
569,Section 4,Yes,04-10-2018,04-10-18,4:15:00 PM,Utility Damage,N/A,N/A,Struck by a moving vehicle,0,18-10-18,12-10-18,Low
569a,Section 4,N/A,23-09-2018,23-09-18,2:38:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-10-18,02-10-18,N/A
570,Section 4,N/A,30-09-2018,30-09-18,9:34:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-10-18,02-10-18,N/A
571,Section 4,N/A,01-10-2018,01-10-18,4:25:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-10-18,02-10-18,N/A
572,Section 4,N/A,30-09-2018,30-09-18,9:20:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-10-18,02-10-18,N/A
573,Section 4,N/A,29-09-2018,29-09-18,1:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-10-18,02-10-18,N/A
573a,Section 4,N/A,22-09-2018,22-09-18,1:01:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-10-18,02-10-18,N/A
574,Section 4,Yes,05-10-2018,05-10-18,10:30:00 AM,Utility Damage,N/A,N/A,N/A,0,19-10-18,26-10-18,High
575,Section 2,Yes,05-10-2018,05-10-18,12:41:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,19-10-18,05-10-18,N/A
576,Section 1,No,02-10-2018,08-10-18,11:05:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-10-18,08-10-18,N/A
577,Section 1,No,04-10-2018,08-10-18,12:41:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-10-18,08-10-18,N/A
578,Section 5,No,02-10-2018,08-10-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-10-18,08-10-18,N/A
579,Section 5,N/A,11-09-2018,08-10-18,8:22:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-10-18,08-10-18,N/A
580,Section 5,N/A,11-09-2018,08-10-18,5:18:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-10-18,08-10-18,N/A
581,Section 5,N/A,11-09-2018,08-10-18,8:12:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-10-18,08-10-18,N/A
582,Section 5,N/A,20-09-2018,08-10-18,3:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-10-18,08-10-18,N/A
583,Section 5,N/A,27-09-2018,08-10-18,2:33:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,08-10-18,08-10-18,N/A
584,Section 5,N/A,06-10-2018,09-10-18,5:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-10-18,09-10-18,N/A
585,Section 5,N/A,07-10-2018,09-10-18,12:05:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-10-18,09-10-18,N/A
586,Section 5,N/A,08-10-2018,09-10-18,8:25:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-10-18,09-10-18,N/A
587,Section 5,N/A,08-10-2018,09-10-18,9:05:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-10-18,09-10-18,N/A
588,Section 5,N/A,08-10-2018,09-10-18,9:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-10-18,09-10-18,N/A
589,Section 5,N/A,08-10-2018,09-10-18,3:51:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-10-18,09-10-18,N/A
590,Section 5,N/A,09-10-2018,10-10-18,2:22:00 AM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,10-10-18,10-10-18,N/A
591,Section 3,Yes,06-10-2018,,1:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,,,
592,Section 2,Yes,12-10-2018,12-10-18,8:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,26-10-18,29-10-18,Low
